Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
833-50-4910,B,Mandalay,Normal,Female,Fashion accessories,68.09,8,27.24,571.96,2024-02-10,11:00,Cash,544.72,4.7619,27.24,7.7
676-22-2200,C,Naypyitaw,Member,Male,Electronic accessories,93.98,2,9.4,197.36,2024-02-01,15:18,Ewallet,187.96,4.7619,9.4,6.6
656-48-9666,A,Yangon,Normal,Female,Electronic accessories,33.8,2,3.38,70.98,2024-03-11,12:17,Cash,67.6,4.7619,3.38,7.6
834-53-4335,C,Naypyitaw,Normal,Male,Home and lifestyle,91.47,1,4.57,96.04,2024-01-12,20:27,Cash,91.47,4.7619,4.57,4.3
441-26-5291,A,Yangon,Normal,Male,Food and beverages,10.87,2,1.09,22.83,2024-03-29,12:34,Ewallet,21.74,4.7619,1.09,9.0
696-80-3426,B,Mandalay,Member,Female,Home and lifestyle,42.81,1,2.14,44.95,2024-02-15,13:43,Ewallet,42.81,4.7619,2.14,8.0
462-81-7658,C,Naypyitaw,Member,Female,Electronic accessories,97.85,3,14.68,308.23,2024-02-22,10:11,Credit card,293.55,4.7619,14.68,9.5
901-62-5065,B,Mandalay,Member,Female,Sports and travel,88.49,8,35.4,743.32,2024-01-29,13:52,Cash,707.92,4.7619,35.4,6.1
940-39-4652,A,Yangon,Member,Male,Home and lifestyle,35.07,2,3.51,73.65,2024-02-05,15:41,Credit card,70.14,4.7619,3.51,6.4
963-78-6425,A,Yangon,Member,Male,Electronic accessories,62.25,5,15.56,326.81,2024-01-05,11:38,Cash,311.25,4.7619,15.56,6.1
905-50-8149,C,Naypyitaw,Member,Male,Food and beverages,27.11,1,1.36,28.47,2024-03-31,16:00,Credit card,27.11,4.7619,1.36,9.6
651-97-4228,B,Mandalay,Normal,Female,Fashion accessories,92.86,10,46.43,975.03,2024-02-10,20:54,Ewallet,928.6,4.7619,46.43,8.3
407-74-6067,C,Naypyitaw,Normal,Male,Sports and travel,72.74,9,32.73,687.39,2024-01-17,13:26,Credit card,654.66,4.7619,32.73,9.6
793-32-5930,B,Mandalay,Member,Male,Home and lifestyle,28.91,10,14.46,303.56,2024-03-18,20:20,Cash,289.1,4.7619,14.46,6.7
791-37-9375,B,Mandalay,Member,Female,Home and lifestyle,56.39,10,28.2,592.1,2024-02-12,11:52,Ewallet,563.9,4.7619,28.2,8.0
330-35-3414,A,Yangon,Member,Female,Sports and travel,65.01,2,6.5,136.52,2024-02-28,16:56,Credit card,130.02,4.7619,6.5,7.5
835-99-7291,B,Mandalay,Normal,Female,Electronic accessories,69.04,1,3.45,72.49,2024-01-14,16:14,Ewallet,69.04,4.7619,3.45,8.8
812-76-8611,A,Yangon,Member,Female,Sports and travel,22.0,8,8.8,184.8,2024-03-26,18:35,Credit card,176.0,4.7619,8.8,5.9
873-66-9270,B,Mandalay,Normal,Female,Fashion accessories,87.53,8,35.01,735.25,2024-02-03,13:53,Credit card,700.24,4.7619,35.01,5.7
896-76-8939,C,Naypyitaw,Member,Male,Sports and travel,16.97,5,4.24,89.09,2024-01-31,14:21,Cash,84.85,4.7619,4.24,9.4
182-27-3471,A,Yangon,Normal,Female,Fashion accessories,29.25,7,10.24,214.99,2024-02-22,15:34,Cash,204.75,4.7619,10.24,6.5
311-63-7381,C,Naypyitaw,Member,Male,Sports and travel,10.53,6,3.16,66.34,2024-02-08,16:54,Cash,63.18,4.7619,3.16,7.2
852-79-4613,B,Mandalay,Member,Male,Sports and travel,53.7,7,18.79,394.69,2024-02-13,20:43,Cash,375.9,4.7619,18.79,8.3
960-69-3091,C,Naypyitaw,Member,Male,Food and beverages,60.79,1,3.04,63.83,2024-01-11,20:27,Ewallet,60.79,4.7619,3.04,9.2
286-16-5262,B,Mandalay,Normal,Female,Sports and travel,39.41,7,13.79,289.66,2024-02-05,16:16,Ewallet,275.87,4.7619,13.79,6.8
867-79-1853,B,Mandalay,Member,Female,Fashion accessories,13.62,1,0.68,14.3,2024-02-01,13:53,Ewallet,13.62,4.7619,0.68,7.7
344-26-8758,C,Naypyitaw,Member,Female,Sports and travel,72.94,6,21.88,459.52,2024-01-22,19:38,Credit card,437.64,4.7619,21.88,8.3
896-30-6096,A,Yangon,Member,Male,Food and beverages,70.95,7,24.83,521.48,2024-02-20,13:04,Credit card,496.65,4.7619,24.83,8.1
742-41-2669,C,Naypyitaw,Normal,Female,Food and beverages,80.43,6,24.13,506.71,2024-03-09,16:42,Cash,482.58,4.7619,24.13,4.4
763-53-1207,B,Mandalay,Normal,Female,Sports and travel,96.46,8,38.58,810.26,2024-03-31,12:27,Ewallet,771.68,4.7619,38.58,8.4
766-44-9817,B,Mandalay,Normal,Male,Fashion accessories,63.32,6,19.0,398.92,2024-02-01,11:17,Cash,379.92,4.7619,19.0,5.5
575-82-7209,B,Mandalay,Member,Male,Home and lifestyle,26.36,4,5.27,110.71,2024-02-15,14:21,Cash,105.44,4.7619,5.27,9.3
818-45-1166,C,Naypyitaw,Member,Female,Electronic accessories,74.8,8,29.92,628.32,2024-03-12,13:44,Cash,598.4,4.7619,29.92,7.9
602-67-1282,A,Yangon,Normal,Female,Sports and travel,72.25,5,18.06,379.31,2024-03-25,19:23,Cash,361.25,4.7619,18.06,7.3
452-64-6419,B,Mandalay,Normal,Male,Home and lifestyle,32.62,2,3.26,68.5,2024-01-25,15:07,Credit card,65.24,4.7619,3.26,7.2
880-98-4033,A,Yangon,Member,Male,Home and lifestyle,75.21,9,33.84,710.73,2024-03-17,14:06,Ewallet,676.89,4.7619,33.84,5.8
469-32-5952,A,Yangon,Member,Male,Health and beauty,97.68,9,43.96,923.08,2024-02-07,12:40,Cash,879.12,4.7619,43.96,4.6
112-83-5658,B,Mandalay,Normal,Male,Home and lifestyle,26.59,1,1.33,27.92,2024-02-02,17:07,Ewallet,26.59,4.7619,1.33,6.4
175-83-1878,A,Yangon,Member,Male,Health and beauty,99.44,2,9.94,208.82,2024-03-12,16:38,Credit card,198.88,4.7619,9.94,8.7
331-76-7232,B,Mandalay,Normal,Male,Food and beverages,99.09,5,24.77,520.22,2024-03-13,19:03,Credit card,495.45,4.7619,24.77,9.8
201-36-4457,B,Mandalay,Member,Female,Electronic accessories,25.64,2,2.56,53.84,2024-01-21,10:26,Cash,51.28,4.7619,2.56,8.1
581-47-1534,A,Yangon,Normal,Male,Fashion accessories,87.36,2,8.74,183.46,2024-03-28,13:59,Cash,174.72,4.7619,8.74,8.7
740-85-4241,B,Mandalay,Member,Female,Fashion accessories,23.41,5,5.85,122.9,2024-01-19,11:03,Ewallet,117.05,4.7619,5.85,8.8
709-82-5728,B,Mandalay,Member,Male,Fashion accessories,37.37,7,13.08,274.67,2024-02-04,18:34,Cash,261.59,4.7619,13.08,6.6
712-15-8078,C,Naypyitaw,Normal,Male,Health and beauty,18.22,10,9.11,191.31,2024-03-16,10:48,Credit card,182.2,4.7619,9.11,8.9
690-15-3870,B,Mandalay,Normal,Male,Electronic accessories,99.72,7,34.9,732.94,2024-03-22,17:05,Cash,698.04,4.7619,34.9,6.1
441-51-2713,A,Yangon,Normal,Male,Fashion accessories,54.59,7,19.11,401.24,2024-03-11,10:29,Ewallet,382.13,4.7619,19.11,5.9
431-24-7622,C,Naypyitaw,Member,Male,Sports and travel,14.88,9,6.7,140.62,2024-02-16,19:48,Cash,133.92,4.7619,6.7,7.8
878-16-4335,B,Mandalay,Member,Male,Sports and travel,89.27,8,35.71,749.87,2024-01-16,10:40,Credit card,714.16,4.7619,35.71,8.8
826-30-6091,C,Naypyitaw,Member,Male,Health and beauty,30.22,2,3.02,63.46,2024-02-29,11:41,Ewallet,60.44,4.7619,3.02,7.0
833-47-9337,C,Naypyitaw,Normal,Male,Sports and travel,98.21,4,19.64,412.48,2024-02-28,18:09,Cash,392.84,4.7619,19.64,5.1
713-75-3236,A,Yangon,Normal,Male,Home and lifestyle,94.07,9,42.33,888.96,2024-02-04,10:18,Credit card,846.63,4.7619,42.33,5.8
701-84-9022,A,Yangon,Normal,Male,Home and lifestyle,39.92,9,17.96,377.24,2024-02-18,17:59,Cash,359.28,4.7619,17.96,9.2
814-40-7274,A,Yangon,Normal,Female,Home and lifestyle,77.02,7,26.96,566.1,2024-02-19,20:50,Credit card,539.14,4.7619,26.96,9.9
607-14-3068,C,Naypyitaw,Normal,Female,Sports and travel,18.97,8,7.59,159.35,2024-01-02,12:26,Credit card,151.76,4.7619,7.59,9.8
176-70-5342,B,Mandalay,Normal,Female,Home and lifestyle,86.7,9,39.02,819.32,2024-02-18,15:40,Credit card,780.3,4.7619,39.02,9.3
599-79-1588,C,Naypyitaw,Member,Female,Fashion accessories,71.59,5,17.9,375.85,2024-01-30,11:27,Ewallet,357.95,4.7619,17.9,8.6
820-22-8269,A,Yangon,Normal,Female,Health and beauty,39.19,1,1.96,41.15,2024-02-07,15:23,Cash,39.19,4.7619,1.96,4.9
643-62-3950,A,Yangon,Member,Female,Food and beverages,88.37,10,44.19,927.89,2024-03-28,13:31,Credit card,883.7,4.7619,44.19,4.9
572-91-5161,B,Mandalay,Normal,Female,Sports and travel,91.1,9,41.0,860.9,2024-01-21,11:28,Cash,819.9,4.7619,41.0,9.9
406-91-7951,C,Naypyitaw,Normal,Male,Home and lifestyle,27.93,7,9.78,205.29,2024-03-02,11:15,Cash,195.51,4.7619,9.78,7.4
688-47-5837,A,Yangon,Normal,Male,Health and beauty,60.93,1,3.05,63.98,2024-03-18,17:53,Cash,60.93,4.7619,3.05,8.7
335-87-6772,A,Yangon,Member,Male,Fashion accessories,77.99,3,11.7,245.67,2024-03-21,11:57,Credit card,233.97,4.7619,11.7,7.9
416-66-1546,C,Naypyitaw,Normal,Female,Health and beauty,91.86,6,27.56,578.72,2024-02-23,12:12,Ewallet,551.16,4.7619,27.56,8.7
997-56-9697,C,Naypyitaw,Normal,Female,Home and lifestyle,92.26,8,36.9,774.98,2024-02-07,15:51,Ewallet,738.08,4.7619,36.9,6.8
177-28-4696,C,Naypyitaw,Normal,Male,Health and beauty,81.15,1,4.06,85.21,2024-02-03,18:07,Cash,81.15,4.7619,4.06,6.2
866-96-5295,C,Naypyitaw,Normal,Male,Health and beauty,70.73,8,28.29,594.13,2024-01-04,19:56,Credit card,565.84,4.7619,28.29,6.0
724-38-2035,C,Naypyitaw,Normal,Male,Fashion accessories,46.74,3,7.01,147.23,2024-01-06,10:19,Cash,140.22,4.7619,7.01,4.7
340-78-3222,B,Mandalay,Normal,Male,Fashion accessories,95.43,9,42.94,901.81,2024-02-23,19:47,Credit card,858.87,4.7619,42.94,4.9
524-93-2622,B,Mandalay,Normal,Male,Health and beauty,72.12,4,14.42,302.9,2024-02-26,17:15,Cash,288.48,4.7619,14.42,4.6
802-57-9920,C,Naypyitaw,Normal,Female,Sports and travel,34.83,2,3.48,73.14,2024-02-28,11:42,Ewallet,69.66,4.7619,3.48,7.9
711-12-1828,B,Mandalay,Member,Female,Food and beverages,28.47,9,12.81,269.04,2024-01-27,19:13,Ewallet,256.23,4.7619,12.81,6.0
251-86-1046,B,Mandalay,Member,Female,Food and beverages,32.56,3,4.88,102.56,2024-01-15,20:55,Ewallet,97.68,4.7619,4.88,4.8
466-40-6304,A,Yangon,Member,Male,Health and beauty,21.41,7,7.49,157.36,2024-03-08,11:47,Ewallet,149.87,4.7619,7.49,6.9
896-56-9408,C,Naypyitaw,Member,Male,Food and beverages,29.94,10,14.97,314.37,2024-01-06,20:33,Cash,299.4,4.7619,14.97,6.7
131-17-8847,B,Mandalay,Normal,Female,Sports and travel,74.11,8,29.64,622.52,2024-01-10,11:20,Credit card,592.88,4.7619,29.64,4.9
229-45-9984,C,Naypyitaw,Normal,Male,Food and beverages,57.74,8,23.1,485.02,2024-03-05,19:27,Ewallet,461.92,4.7619,23.1,8.8
217-93-4522,B,Mandalay,Normal,Female,Sports and travel,40.5,8,16.2,340.2,2024-02-21,16:46,Ewallet,324.0,4.7619,16.2,5.9
420-95-5176,B,Mandalay,Member,Male,Health and beauty,18.21,2,1.82,38.24,2024-01-12,16:06,Credit card,36.42,4.7619,1.82,8.4
931-26-1982,C,Naypyitaw,Normal,Female,Sports and travel,41.82,7,14.64,307.38,2024-01-07,14:38,Cash,292.74,4.7619,14.64,6.1
691-74-4485,A,Yangon,Normal,Female,Health and beauty,41.51,9,18.68,392.27,2024-02-17,11:48,Cash,373.59,4.7619,18.68,7.4
926-64-1430,C,Naypyitaw,Normal,Female,Electronic accessories,34.59,5,8.65,181.6,2024-02-13,15:00,Ewallet,172.95,4.7619,8.65,9.2
679-94-7566,A,Yangon,Member,Female,Health and beauty,77.14,4,15.43,323.99,2024-02-18,16:29,Cash,308.56,4.7619,15.43,4.9
419-51-2391,A,Yangon,Member,Female,Food and beverages,14.48,2,1.45,30.41,2024-02-04,17:42,Cash,28.96,4.7619,1.45,6.9
552-63-5475,A,Yangon,Member,Male,Sports and travel,19.98,10,9.99,209.79,2024-03-03,18:42,Cash,199.8,4.7619,9.99,4.3
504-86-1897,A,Yangon,Member,Male,Electronic accessories,79.05,5,19.76,415.01,2024-02-07,15:07,Ewallet,395.25,4.7619,19.76,7.0
540-32-3116,B,Mandalay,Member,Male,Health and beauty,45.73,1,2.29,48.02,2024-02-25,10:29,Ewallet,45.73,4.7619,2.29,9.2
689-64-7626,C,Naypyitaw,Normal,Male,Health and beauty,46.45,6,13.94,292.64,2024-01-22,19:29,Credit card,278.7,4.7619,13.94,9.5
190-65-2734,A,Yangon,Normal,Male,Food and beverages,17.08,5,4.27,89.67,2024-02-13,13:21,Ewallet,85.4,4.7619,4.27,4.5
748-24-9693,C,Naypyitaw,Member,Male,Home and lifestyle,75.46,3,11.32,237.7,2024-01-31,11:09,Cash,226.38,4.7619,11.32,5.2
716-29-2234,A,Yangon,Normal,Male,Food and beverages,78.38,8,31.35,658.39,2024-03-28,19:41,Credit card,627.04,4.7619,31.35,9.9
430-90-6179,A,Yangon,Normal,Female,Sports and travel,49.79,5,12.45,261.4,2024-02-05,19:03,Cash,248.95,4.7619,12.45,7.0
417-69-8404,A,Yangon,Member,Male,Home and lifestyle,16.91,2,1.69,35.51,2024-03-19,19:32,Cash,33.82,4.7619,1.69,6.8
667-15-8368,C,Naypyitaw,Member,Male,Food and beverages,52.8,3,7.92,166.32,2024-01-08,17:06,Cash,158.4,4.7619,7.92,9.9
186-74-3827,A,Yangon,Member,Male,Sports and travel,57.16,10,28.58,600.18,2024-01-21,15:23,Cash,571.6,4.7619,28.58,6.3
893-53-1857,C,Naypyitaw,Normal,Female,Home and lifestyle,18.5,7,6.48,135.98,2024-02-06,14:46,Credit card,129.5,4.7619,6.48,9.8
717-29-6461,A,Yangon,Member,Male,Home and lifestyle,97.08,7,33.98,713.54,2024-01-17,19:45,Ewallet,679.56,4.7619,33.98,5.9
485-92-6381,A,Yangon,Member,Male,Food and beverages,42.56,6,12.77,268.13,2024-02-09,12:13,Cash,255.36,4.7619,12.77,9.7
597-34-4711,A,Yangon,Member,Female,Home and lifestyle,85.99,2,8.6,180.58,2024-03-05,18:53,Credit card,171.98,4.7619,8.6,9.3
138-94-6517,C,Naypyitaw,Member,Male,Electronic accessories,24.6,10,12.3,258.3,2024-01-22,17:02,Cash,246.0,4.7619,12.3,6.2
836-40-8277,C,Naypyitaw,Normal,Male,Electronic accessories,58.06,5,14.52,304.82,2024-03-01,13:23,Credit card,290.3,4.7619,14.52,9.7
551-69-5616,B,Mandalay,Normal,Female,Electronic accessories,82.11,3,12.32,258.65,2024-02-02,10:41,Cash,246.33,4.7619,12.32,9.2
667-23-9452,A,Yangon,Normal,Female,Electronic accessories,34.55,9,15.55,326.5,2024-01-19,16:05,Ewallet,310.95,4.7619,15.55,8.9
457-13-7797,A,Yangon,Normal,Male,Electronic accessories,44.75,2,4.48,93.98,2024-02-17,13:01,Cash,89.5,4.7619,4.48,9.6
959-93-6493,A,Yangon,Member,Female,Home and lifestyle,92.56,8,37.02,777.5,2024-03-30,12:48,Credit card,740.48,4.7619,37.02,6.8
730-10-2298,A,Yangon,Normal,Female,Electronic accessories,59.39,10,29.7,623.6,2024-03-08,16:07,Cash,593.9,4.7619,29.7,5.4
224-16-4906,B,Mandalay,Normal,Female,Health and beauty,85.29,8,34.12,716.44,2024-03-17,18:01,Credit card,682.32,4.7619,34.12,7.1
347-28-5772,B,Mandalay,Member,Male,Electronic accessories,61.35,3,9.2,193.25,2024-03-26,20:05,Credit card,184.05,4.7619,9.2,9.8
169-77-9914,C,Naypyitaw,Member,Male,Sports and travel,13.92,7,4.87,102.31,2024-02-17,14:47,Ewallet,97.44,4.7619,4.87,6.1
169-54-4950,C,Naypyitaw,Member,Male,Electronic accessories,13.99,9,6.3,132.21,2024-02-13,20:11,Credit card,125.91,4.7619,6.3,6.8
812-71-3986,A,Yangon,Member,Male,Health and beauty,36.41,1,1.82,38.23,2024-01-26,10:20,Cash,36.41,4.7619,1.82,7.1
934-79-8756,B,Mandalay,Member,Female,Home and lifestyle,42.12,1,2.11,44.23,2024-03-24,15:17,Ewallet,42.12,4.7619,2.11,8.8
547-61-8204,B,Mandalay,Normal,Female,Sports and travel,72.28,6,21.68,455.36,2024-03-07,14:51,Ewallet,433.68,4.7619,21.68,8.4
180-65-3956,C,Naypyitaw,Normal,Male,Health and beauty,17.21,5,4.3,90.35,2024-02-09,17:38,Credit card,86.05,4.7619,4.3,6.6
806-66-6759,B,Mandalay,Member,Male,Food and beverages,99.82,5,24.96,524.06,2024-03-22,10:04,Credit card,499.1,4.7619,24.96,7.8
472-75-3621,A,Yangon,Member,Male,Health and beauty,21.36,4,4.27,89.71,2024-03-23,15:23,Cash,85.44,4.7619,4.27,9.7
133-87-3513,C,Naypyitaw,Normal,Male,Home and lifestyle,49.95,2,5.0,104.9,2024-03-14,12:33,Cash,99.9,4.7619,5.0,6.4
765-45-5089,A,Yangon,Member,Female,Sports and travel,56.59,9,25.47,534.78,2024-01-16,14:49,Cash,509.31,4.7619,25.47,8.2
319-88-5678,C,Naypyitaw,Normal,Female,Health and beauty,22.21,2,2.22,46.64,2024-02-27,12:57,Credit card,44.42,4.7619,2.22,6.7
189-97-6236,C,Naypyitaw,Normal,Female,Food and beverages,58.79,5,14.7,308.65,2024-01-21,20:11,Cash,293.95,4.7619,14.7,7.1
224-35-3275,A,Yangon,Normal,Female,Home and lifestyle,59.86,6,17.96,377.12,2024-02-29,18:08,Credit card,359.16,4.7619,17.96,9.3
167-49-7523,C,Naypyitaw,Normal,Male,Sports and travel,84.09,2,8.41,176.59,2024-01-17,15:41,Ewallet,168.18,4.7619,8.41,6.7
796-76-6644,A,Yangon,Member,Female,Sports and travel,55.25,1,2.76,58.01,2024-01-16,18:09,Cash,55.25,4.7619,2.76,5.0
430-38-6669,C,Naypyitaw,Normal,Female,Home and lifestyle,27.67,9,12.45,261.48,2024-02-05,12:40,Cash,249.03,4.7619,12.45,7.7
195-74-3762,C,Naypyitaw,Member,Female,Fashion accessories,66.2,10,33.1,695.1,2024-02-13,19:02,Ewallet,662.0,4.7619,33.1,4.5
756-83-5336,C,Naypyitaw,Member,Male,Food and beverages,67.5,8,27.0,567.0,2024-03-21,18:18,Credit card,540.0,4.7619,27.0,9.7
594-41-7653,B,Mandalay,Normal,Female,Fashion accessories,15.39,8,6.16,129.28,2024-02-23,17:29,Ewallet,123.12,4.7619,6.16,6.0
247-50-6231,C,Naypyitaw,Normal,Male,Electronic accessories,78.45,9,35.3,741.35,2024-03-12,11:20,Ewallet,706.05,4.7619,35.3,6.8
373-67-5061,A,Yangon,Member,Female,Home and lifestyle,95.08,10,47.54,998.34,2024-02-23,13:55,Ewallet,950.8,4.7619,47.54,8.9
691-50-4110,A,Yangon,Normal,Male,Sports and travel,89.11,8,35.64,748.52,2024-01-03,11:25,Credit card,712.88,4.7619,35.64,6.7
346-37-6781,A,Yangon,Member,Male,Sports and travel,63.77,8,25.51,535.67,2024-02-06,18:00,Ewallet,510.16,4.7619,25.51,6.6
370-56-7606,B,Mandalay,Member,Male,Health and beauty,61.32,4,12.26,257.54,2024-02-16,18:18,Ewallet,245.28,4.7619,12.26,6.3
561-80-5582,C,Naypyitaw,Member,Female,Health and beauty,45.45,6,13.63,286.33,2024-03-12,15:48,Ewallet,272.7,4.7619,13.63,5.2
621-61-9193,A,Yangon,Member,Female,Electronic accessories,74.22,8,29.69,623.45,2024-03-07,17:09,Credit card,593.76,4.7619,29.69,9.4
243-51-6218,A,Yangon,Normal,Male,Food and beverages,40.27,9,18.12,380.55,2024-03-09,17:45,Credit card,362.43,4.7619,18.12,5.8
935-12-7035,B,Mandalay,Member,Male,Food and beverages,37.69,1,1.88,39.57,2024-03-17,17:16,Credit card,37.69,4.7619,1.88,8.7
894-84-4728,C,Naypyitaw,Member,Male,Electronic accessories,57.18,10,28.59,600.39,2024-02-18,12:52,Credit card,571.8,4.7619,28.59,5.5
686-99-2800,A,Yangon,Member,Male,Home and lifestyle,47.69,7,16.69,350.52,2024-03-29,13:26,Credit card,333.83,4.7619,16.69,8.6
582-17-3262,C,Naypyitaw,Member,Male,Fashion accessories,53.05,7,18.57,389.92,2024-02-10,12:29,Credit card,371.35,4.7619,18.57,6.1
462-96-5331,C,Naypyitaw,Normal,Female,Electronic accessories,35.11,5,8.78,184.33,2024-01-29,14:49,Cash,175.55,4.7619,8.78,8.2
806-72-6194,B,Mandalay,Normal,Male,Home and lifestyle,20.97,9,9.44,198.17,2024-02-18,16:52,Cash,188.73,4.7619,9.44,9.7
923-28-5758,A,Yangon,Normal,Female,Home and lifestyle,93.15,5,23.29,489.04,2024-03-02,13:12,Credit card,465.75,4.7619,23.29,5.6
675-99-5450,A,Yangon,Member,Female,Electronic accessories,14.57,9,6.56,137.69,2024-01-29,20:14,Ewallet,131.13,4.7619,6.56,4.6
438-70-2647,C,Naypyitaw,Member,Female,Food and beverages,98.0,3,14.7,308.7,2024-02-22,20:59,Cash,294.0,4.7619,14.7,6.9
304-46-6262,B,Mandalay,Member,Female,Fashion accessories,61.67,9,27.75,582.78,2024-01-05,12:26,Ewallet,555.03,4.7619,27.75,9.6
137-60-9116,A,Yangon,Normal,Female,Health and beauty,36.85,10,18.43,386.93,2024-01-14,15:18,Cash,368.5,4.7619,18.43,9.9
656-77-9092,A,Yangon,Normal,Male,Electronic accessories,82.79,6,24.84,521.58,2024-01-21,17:41,Cash,496.74,4.7619,24.84,8.3
114-53-5833,C,Naypyitaw,Member,Female,Food and beverages,87.04,7,30.46,639.74,2024-02-24,18:20,Ewallet,609.28,4.7619,30.46,6.4
197-33-3303,B,Mandalay,Normal,Female,Health and beauty,33.47,4,6.69,140.57,2024-02-27,14:21,Cash,133.88,4.7619,6.69,7.5
686-11-5285,C,Naypyitaw,Normal,Female,Health and beauty,70.09,8,28.04,588.76,2024-02-09,12:25,Credit card,560.72,4.7619,28.04,7.0
820-49-2923,C,Naypyitaw,Normal,Male,Food and beverages,29.87,3,4.48,94.09,2024-03-02,12:29,Credit card,89.61,4.7619,4.48,9.9
482-63-9998,B,Mandalay,Member,Female,Fashion accessories,77.92,2,7.79,163.63,2024-03-08,17:33,Credit card,155.84,4.7619,7.79,6.2
677-24-2011,C,Naypyitaw,Member,Female,Electronic accessories,39.53,9,17.79,373.56,2024-02-26,11:43,Ewallet,355.77,4.7619,17.79,8.3
600-21-9361,B,Mandalay,Member,Male,Electronic accessories,56.19,8,22.48,472.0,2024-03-13,10:35,Cash,449.52,4.7619,22.48,8.0
415-12-7487,B,Mandalay,Member,Female,Food and beverages,16.57,7,5.8,121.79,2024-02-14,11:34,Ewallet,115.99,4.7619,5.8,9.6
170-70-1519,B,Mandalay,Normal,Female,Electronic accessories,78.92,7,27.62,580.06,2024-02-17,16:28,Cash,552.44,4.7619,27.62,6.3
799-94-9835,A,Yangon,Normal,Female,Electronic accessories,99.35,7,34.77,730.22,2024-03-08,12:46,Ewallet,695.45,4.7619,34.77,9.0
874-12-5888,B,Mandalay,Normal,Male,Electronic accessories,32.27,6,9.68,203.3,2024-01-20,14:12,Credit card,193.62,4.7619,9.68,8.6
